Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
376,MBBS,Maharashtra,"Smt. Kashibai Navale Medical College and General Hospital,Pune","Maharashtra University of Health Sciences, Nashik",Trust,2007,150,"Recognized for 100 seats when degree granted on or after December 2011. Recognized for increase of seats from 100 to 150 when degree granted on or after December,2018.",N/A
377,MBBS,Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule","Maharashtra University of Health Sciences, Nashik",Govt.,1988,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 when degree granted on or after December,2017. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
378,MBBS,Maharashtra,"SRTR Medical College, Ambajogai","Maharashtra University of Health Sciences, Nashik",Govt.,1974,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 when degree granted on or after January, 2018. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
379,MBBS,Maharashtra,"Symbiosis Medical College for Women, Pune","Symbiosis International (Deemed) University, pune",Society,2020,150,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023-2024.",17-02-2020
380,MBBS,Maharashtra,"Terna Medical College, Navi Mumbai","Maharashtra University of Health Sciences, Nashik",Trust,1991,150,"Recognized for 100 seats & continuation of recognition granted for 100 seats when degree awarded on or after 2017-2018, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted for (1st renewal) 2nd batch for the Academic Year 2023 -2024.",N/A
381,MBBS,Maharashtra,"Topiwala National Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1964,150,Recognized for 120 seats. Permitted for increase of seats from 120 to 150 under EWS quota (103rd constitution amendment) for 2019-20 and continued till 2021-2022.,N/A
382,MBBS,Maharashtra,"Vedantaa Institute of Medical Sciences, Palghar, Maharashtra","Maharashtra University of Health Sciences, Nashik",Private,2017,150,Permitted  for renewal of permission u/s 10(A) for 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2017
383,MBBS,Manipur,"Government Medical College, Churachandpur",Manipur University,Govt.,,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
384,MBBS,Manipur,"Jawaharlal Nehru Institute of Medical Sciences,Porompet,Imphal",Manipur University,Govt.,2010,150,"Recognized  when degree granted on or after January, 2015, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024. COR granted for one (01) for 2022-23 only.",12-07-2010
385,MBBS,Manipur,"Regional Institute of Medical Sciences, Imphal",Manipur University,Govt.,1972,125,"Recognized for 100 MBBS seats annually upto April, 2027. Permitted for increase of seats i.e. from 100 to 125 under EWS quota (103rd constitution amendment) from the academic session 2019-20.",N/A
386,MBBS,Manipur,Shija Academy of Health Sciences,Manipur University,Private,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted For 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024.",01-11-2021
387,MBBS,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences, Shillong","North Eastern Hill University, Shillong",Govt.,2008,50,"Recognized  when degree granted on or after February,2013",N/A
388,MBBS,Mizoram,"Zoram Medical College, Mizoram",Mizoram University,Govt.,2018,100,"Permitted  for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",25-05-2018
389,MBBS,Nagaland,Nagaland Institute of Medical Sciences & Research,Nagaland University,Govt.,2023,100,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",24-04-2023
390,MBBS,Orissa,"All India Institute of Medical Sciences, Bhubaneswar","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125,"Recognized vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
391,MBBS,Orissa,"Dharanidhar Medical College & Hospital (DDMCH), Keonjhar,","MSCBD University, Baripada",Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",26-08-2022
392,MBBS,Orissa,"DRIEMS Institute of Health Sciences and Hospital, Kairapari",Utkal University,Society,2023,100,"Permitted u/s 26(1) (a) (b) and 28 (1) (2) of NMC Act, 2019.",01-06-2023
393,MBBS,Orissa,"Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir",Sambalpur University,Govt.,2018,100,"Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",31-05-2018
394,MBBS,Orissa,"Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore","Fakir Mohan Univeristy, Balasore",Govt.,2018,100,"Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",31-05-2018
395,MBBS,Orissa,"Government Medical College, Sundargarh",Sambalpur University,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
396,MBBS,Orissa,"Hi-Tech Medical College & Hospital, Bhubaneswar",Utkal University,Trust,2005,150,"Recognized (Issued discharge notice) Recognition continued for award of degree for 100 seats when granted on or after 2016-2017. Renewal of permission granted for admission of 100 seats for 2021-22, Increase of 100 to 150 seats for 2021-22, Recognized (Issued discharge notice) Recognition continued for award of degree for 100 seats when granted on or after 2016-2017. Renewal of permission granted for admission of 100 seats for 2021-22, Increase of 100 to 150 seats for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (2nd renewal) 3rd batch for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only.",14-07-2005
397,MBBS,Orissa,"Hi-Tech Medical College & Hospital, Rourkela",Sambalpur University,Trust,2012,100,Recognized for 100 seats when degree granted on or after May 2017.,27-06-2012
398,MBBS,Orissa,"Instt. Of Medical Sciences & SUM Hospital, Bhubaneswar","Siksha O Anusandhan University,Bhubaneswar",Trust,2007,250,"Recognized for 100 seats when degree granted on or after August,2012. Recognized for increase of seats from 100 to 150 when degree granted on or after December,2018.Permitted for increase of seats from 150 to 250 u/s 10(A) for 2020-21 (Prev.under Utkal University i.e. before March 2014). Permitted of renewal of 150 to 250 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",06-07-2007
399,MBBS,Orissa,"Kalinga Institute of Medical Sciences, Bhubaneswar","KIIT University (Deemed), Bhubaneswar",Trust,2007,250,"Recognized for 100 seats when degree granted on or after August,2012. Recognized for increase of seats from 100 to 150 when degree granted on or after February,2019. (Previously under Utkal University before July 2014). Permitted for increase of seats from 150 to 250 u/s 10(A) for 2020-21, Recognized for 100 seats when degree granted on or after August,2012. Recognized for increase of seats from 100 to 150 when degree granted on or after February,2019. (Previously under Utkal University before July 2014). Permitted for increase of seats from 150 to 250 u/s 10(A) for 2020-21. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted for (3rd renewal) 4th batch for the Academic Year 2023 -2024.",18-06-2007
400,MBBS,Orissa,"MKCG Medical College, Berhampur",Berhampur University,Govt.,1962,250,Recognized for 107 seats. Recommended for recognition for increase of seats from 107 to 150. Permitted for renewal of permission for increase of seats from 150 to 250 u/s 10(A) for 2020-21.,N/A
401,MBBS,Orissa,"Pt. Raghunath Murmu Medical College and Hospital, Baripada, Odisha","North Odisha University, Baripada, Odisha",Govt.,2017,125,Permitted  for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20.,31-05-2017
402,MBBS,Orissa,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Berhampur University,Govt.,2017,125,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2017
403,MBBS,Orissa,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna, Kalahandi",The Kalahandi university,Govt.,2023,100,"Permitted  u/s 26 (a) (b) ,28(1) (2) and 61(2) of NMC Act. 2019 for the A/Y 2023-2024.",11-04-2023
404,MBBS,Orissa,"SCB Medical College, Cuttack",Utkal University,Govt.,1944,250,"Recognized for increase intake i.e. from 107 - 150 seats on January' 2012, for 150 seats. Recognized for increase of seats from 150 to 250 when degree granted on or after sep,2018. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
405,MBBS,Orissa,"Sri Jagannath Medical College & Hospital, Puri",Utkal University,Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
406,MBBS,Orissa,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla",Sambalpur University,Govt.,1959,200,Recognized for 150 seats. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20. Renewal of recognition granted to 2016-17 batch when degree awarded in 2021-22 to 150 seats. Permission for admitting 200 students renewed till 2021-22.,N/A
407,MBBS,Pondicherry,"Aarupadai Veedu Medical College, Pondicherry","Vinayaka Missions University (Deemed), Salem",Trust,1999,150,"Recognized for 100 seats. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21, Recognized for 100 seats. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only.",N/A
408,MBBS,Pondicherry,"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry University,Govt.,2010,180,"Recognized for 150 seats when degree granted on or after December, 2014. Permitted for increase of seats from 150 to 180 under EWS quota (103rd constitution amendment) for 2019-20.",30-08-2010
409,MBBS,Pondicherry,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry","Statutory Autonomous, Puducherry",Govt.,1956,200,Recognized ,N/A
410,MBBS,Pondicherry,"Mahatma Gandhi Medical College & Research Institute, Pondicherry","Sri Balaji Vidyapeeth (Deemed University), Pondicherry",Trust,2002,250,"Recognized Â for 100 when degree granted on or after 10.06.2006 and for increase of seats from 100-150 when degree granted on or after December 2011. Recognized for increase of seats from 150 to 250 when degree granted on or after January, 2019.",N/A
411,MBBS,Pondicherry,"Pondicherry Institute of Medical Sciences & Research, Pondicherry",Pondicherry University,Trust,2000,150,Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after November 2018.,N/A
412,MBBS,Pondicherry,"Sri Lakshmi Narayana Institute of Medical Sciences, Pondicherry","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2006,250,"Recognized when degree granted on or after February,2011. permitted for permission of 100 MBBS Seats increased from 150 to 250 MBBS Seats (u/s 26(1)(a)(b) and 28(1)(2) of the NMC Act, 2019 for the academic year 2021-2022, Recognized when degree granted on or after February,2011. permitted for permission of 100 MBBS Seats increased from 150 to 250 MBBS Seats (u/s 26(1)(a)(b) and 28(1)(2) of the NMC Act, 2019 for the academic year 2021-2022. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only.",N/A
413,MBBS,Pondicherry,"Sri Manakula Vinayagar Medical College & Hospital, Pondicherry",Pondicherry University,Trust,2006,250,"Permitted  for 150 seats. Continuation of recognition granted to 150 seats when degree awarded on or after 2016-17. Renewal of permission for admitting 150 students granted for 2021-22. 100 MBBS seats have been increased u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
414,MBBS,Pondicherry,"Sri Venkateswaraa Medical College, Hospital & Research Centre, Pondicherry",Pondicherry University,Trust,2007,250,"Recognized  when degree granted on or after December 2011. Continuation of recognition granted for 150 seats when degree awarded on or after 2016-17. 150 to 250 MBBS seats increased u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024. Continuation of Recognition granted for one (01) year for 2022-23 only.",N/A
415,MBBS,Pondicherry,"Vinayaka Missions Medical College, Karaikal, Pondicherry","Vinayaka Missions University (Deemed), Salem",Trust,1997,150,"Recognized for 100 seats. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21, Recognized for 100 seats. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (3rd renewal) 4th batch for the Academic Year 2023 -2024.",N/A
416,MBBS,Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda","Adesh University, Bathinda",Trust,2006,150,Recognized  (issued discharge notice for students admitted with below percentage of marks for the academic year 2011-12),N/A
417,MBBS,Punjab,"All India Institute of Medical Sciences, Bhatinda","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2019,100,"Permitted by MOH&FW,GOI.",N/A
418,MBBS,Punjab,"Chintpurni Medical College, Pathankot, Gurdaspur","Baba Farid University of Health Sciences,Faridkot",Trust,2011,150,"Recognized Recognition is conditional. College Debarred from admission for two academic years i.e. 2017-18 and 2018-19. Shifted students of 2014-15 and 2016-17 batches in different medical colleges in the state of Punjab. Permission granted for 150 M.B.B.S seats during academic year 2021-22. Next batch of students in M.B.B.S course will be admitted only after permission of MARB of NMC for Renewal/Recognition, RecognizedÃ‚Â Recognition is conditional. College Debarred from admission for two academic years i.e. 2017-18 and 2018-19. Shifted students of 2014-15 and 2016-17 batches in different medical colleges in the state of Punjab. Permission granted for 150 M.B.B.S seats during academic year 2021-22. Next batch of students in M.B.B.S course will be admitted only after permission of MARB of NMC for Renewal/Recognition. Permitted for renewal of 150 seats for the academic year 2022-23. Disapproved for (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",30-06-2011
419,MBBS,Punjab,"Christian Medical College, Ludhiana","Baba Farid University of Health Sciences,Faridkot",Trust,1953,100,"Recognized  for 50 seats. Recognized for increase of seats from 50-75, Increase of 75 to 100 seats for 2021-22, Recognized for 50 seats. Recognized for increase of seats from 50-75, Increase of 75 to 100 seats for 2021-22. Permitted for Renewal of 75-100 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
420,MBBS,Punjab,"Dayanand Medical College & Hospital, Ludhiana","Baba Farid University of Health Sciences,Faridkot",Trust,1963,100,Recognized for 70 seats. Permitted for increase of seats from 70 to 100 seats in 2016-17. Recognition for granting degree to 100 seats annually continued till 2021-22. Permission for admitting 100 students renewed for 2021-22. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
421,MBBS,Punjab,"Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar , Mohali","Baba Farid University of Health Sciences,Faridkot",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",11-01-2021
422,MBBS,Punjab,"Gian Sagar Medical College & Hospital, Patiala","Baba Farid University of Health Sciences,Faridkot",Trust,2020,150,"Permitted u/s 10(A) for 2020-21, PermittedÂ u/s 10(A) for 2020-21. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted for 4th batch (3rd renewal) during 2023- 2024.",N/A
423,MBBS,Punjab,"Government Medical College, Amritsar","Baba Farid University of Health Sciences,Faridkot",Govt.,1943,250,"Recognized for 150 seats (Previously affiliated to Guru Nanak Dev University, Amritsar). Permitted for renewal of permission for increase of seats from 150 to 200 u/s 10(A) for 2020-21. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
424,MBBS,Punjab,"Government Medical College, Patiala","Baba Farid University of Health Sciences,Faridkot",Govt.,1953,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 only in respect of student admitted in 2014-15. (Previously affiliated to Punjab University, Patiala). Permitted for increase of seats from 200 to 225 under EWS quota (103rd constitution amendment) for 2019-20. Permission to increase from 225 to 250 MBBS ( including 25 EWS seats) have been given u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
425,MBBS,Punjab,"Guru Govind Singh Medical College, Faridkot","Baba Farid University of Health Sciences,Faridkot",Govt.,1973,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 seats when degree granted on or after December, 2017. Permitted for increase of seats from 100 to 125 seats under EWS quota (103rd constitution amendment) for 2019-20. Approved for increase of 25 seats u/s 26(1) (a) (b), 28 (1) (2) and 61 (2) during 2023-2024. ( 100 + 25 increased + 25 EWS). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
426,MBBS,Punjab,"Punjab Institute of Medical Sciences, Jalandhar","Baba Farid University of Health Sciences,Faridkot",Trust,2011,150,"Recognized when degree granted on or after 2016. permitted for continuation of recognition for annual intake of 150 MBBS seats, when degree recognized during 2021-22. Granted renewal of permission for annual intake of 150 MBBS seats for the year 2021-22.",08-06-2011
427,MBBS,Punjab,"Sri Guru Ram Das Institute of Medical Sciences and Research, Sri Amritsar","Sri Guru Ram Das University of Health Sciences, Sri Amritsar",Trust,1997,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 seats. Recognized for increase of seats from 100 to 150 seats when degree granted on or after December, 2017. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
428,MBBS,Rajasthan,"All India Institute of Medical Sciences, Jodhpur","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125,"Recognized vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
429,MBBS,Rajasthan,"American International Institute of Medical Sciences, Bedwas",Rajasthan University of Health Sciences,Private,2016,150,Other for renewal of permission u/s 10(A) for 2019-20 granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Withdrawal of LOP/ cancellation of admission for academic year 2021-22 with effect from 18-04-2022. The college was inspected in the month of August 2022 and found eligible for admission to MBBS course for the Academic Year 2022-2023. Renewal of permission against 150 MBBS seats have been given for the Academic Year 2023 - 2024.,20-08-2016
430,MBBS,Rajasthan,"Ananta Institute of Medical Sciences & Research Centre, Rajsamand",Rajasthan University of Health Sciences,Society,2016,150,"Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22 withdrawal of LOP/cancellation of admission for the academic year 2021-22 with immediate effect from 14-04-2022. Granted recognition of MBBS degree (150 seats) when awarded on or after June, 2022 for 05 years vide NMC letter dated 7/6/2023.",20-08-2016
431,MBBS,Rajasthan,"Dr SN Medical College, Jodhpur",Rajasthan University of Health Sciences,Govt.,1965,250,"Recognized  for 100. Recognized for increase of seats from 100 to 150. Recognized for increase of seats from 150 to 250 when degree granted on or after February,2018. (Previously under Rajasthan University)",N/A
432,MBBS,Rajasthan,Dr S S Tantia Medical College Hospital & Research Centre,Tantia University,Private,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and permission for 3rd batch for Academic Year 2023 - 2024.",01-11-2021
433,MBBS,Rajasthan,"Employees State Insurance Corporation Medical College,Alwar",Rajasthan University of Health Sciences,Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for ( 2nd renewal ) and permission for 3rd batch of 100 seats for the Academic Year 2023-2024.",11-10-2021
434,MBBS,Rajasthan,"Geetanjali Medical College & Hospital,Udaipur","Geetanjali University , Udaipur",Trust,2008,250,Recognized for 150 seats when degree granted by Rajasthan University of Health Sciences on or after February 2013 and when degree granted by Geetanjali University on or after 2017. Permitted for renewal of permission for increase of seats from 150 to 250 for u/s 10(A) for 2020-21. Cancellation of admission for the academic year 2021-22 with immediate effect from 18-04-2022. Permitted (4th renewal) and permission for 5th batch for Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
435,MBBS,Rajasthan,"Government Medical College, Alwar",Rajasthan University of Health Sciences,Govt.,2023,100,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",10-05-2023
436,MBBS,Rajasthan,"Government Medical College, Barmer",Rajasthan University of Health Sciences,Govt.,2019,130,Permitted for renewal of permission u/s 10(A)for 2020-21. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for (4th renewal) 5th batch for the Academic Year 2023 -2024. 130 seats (including 30 Seats under EWS Quota) for the batch 2022 and 2023.,29-05-2019
437,MBBS,Rajasthan,"Government Medical College, Bharatpur, Rajasthan",Rajasthan University of Health Sciences,Govt.,2018,150,Permitted 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,25-05-2018
438,MBBS,Rajasthan,"Government Medical College, Bhilwara, Rajasthan",Rajasthan University of Health Sciences,Govt.,2018,150,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23.,31-05-2018
439,MBBS,Rajasthan,"Government Medical College, Bundi",Rajasthan University of Health Sciences,Govt.,2023,100,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",10-05-2023
440,MBBS,Rajasthan,"Government Medical College, Chittorgarh",Rajasthan University of Health Sciences,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
441,MBBS,Rajasthan,"Government Medical College, Churu",Rajasthan University of Health Sciences,Govt.,2018,150,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2018
442,MBBS,Rajasthan,"Government Medical College, Dausa",Rajasthan University of Health Sciences,Govt.,2023,100,"Permitted u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 during Academic Year 2023 -2024.",05-06-2023
443,MBBS,Rajasthan,"Government Medical College, Dholpur",Rajasthan University of Health Sciences,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
444,MBBS,Rajasthan,"Government Medical College, Dungarpur",Rajasthan University of Health Sciences,Govt.,2018,150,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 150 seats under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,25-05-2018
445,MBBS,Rajasthan,"Government Medical College, Hanumangarh",Rajasthan University of Health Sciences,Govt.,2023,100,"Permitted  u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",01-05-2023
446,MBBS,Rajasthan,"Government Medical College, Karauli",Rajasthan University of Health Sciences,Govt.,2023,100,"Permitted  u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",10-05-2023
447,MBBS,Rajasthan,"Government Medical College, Kota",Rajasthan University of Health Sciences,Govt.,1992,250,"Recognized for 100. Recognized for increase of seats from 100 to 150 seats when degree granted on or after February, 2016. (Previously under Rajasthan University). Permitted for renewal of permission for increase of seats from 150 to 250 seats for u/s 10(A) for 2020-21. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted 4th renewal (5th batch) for 150 to 250 MBBS seats during A/Y 2023-2024. Continuation for Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
448,MBBS,Rajasthan,"Government Medical College, Pali, Rajasthan",Rajasthan University of Health Sciences,Govt.,2018,150,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20. Permitted for Renewal of 100 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,25-05-2018
449,MBBS,Rajasthan,"Government Medical College, Sirohi",Rajasthan University of Health Sciences,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
450,MBBS,Rajasthan,"Government Medical College, Sri Ganganagar",Rajasthan University of Health Sciences,Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
451,MBBS,Rajasthan,"Jaipur National University Institute of Medical Sciences and Resarch Centre, Jagatpura, Jaipur",Jaipur National University (Private Univ.),Private,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. As per 1st Appeal order No. CDN-16011/4/2023-Coord- NMC dated 30th May 2023 the College has given recognition of 150 MBBS degree seats for fiver years.,06-06-2016
